gene_index_in_Xraw	gene_name	xgb_importance
5752	gene_5751	0.12899722
8031	gene_8030	0.11696198
18746	gene_18745	0.0646584
6747	gene_6746	0.054304164
2006	gene_2005	0.045311023
7379	gene_7378	0.044168215
15896	gene_15895	0.04249439
5722	gene_5721	0.03975294
1800	gene_1799	0.038321804
13007	gene_13006	0.037399054
15895	gene_15894	0.03634666
15898	gene_15897	0.03611013
203	gene_202	0.032314852
3458	gene_3457	0.031937838
7965	gene_7964	0.028955407
17801	gene_17800	0.02388099
9184	gene_9183	0.018639648
7490	gene_7489	0.016770309
3542	gene_3541	0.016603455
18135	gene_18134	0.016275613
